"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.132960320E-3,2.998668119E1,3.144144278E1,3.055524982E2,3.225781672E2,2.375985733E-1,NaN,1.767560579E-2,1.116465481E1,7.102196970E0,-1.000000000E0
7.974982262E-3,2.998683756E1,3.144147579E1,3.057816539E2,3.228070477E2,NaN,NaN,1.767560579E-2,1.599179078E1,4.339291409E0,-1.000000000E0
7.974982262E-3,2.998683756E1,3.144147579E1,3.057816539E2,3.228070477E2,NaN,NaN,2.337137559E-2,1.599179078E1,4.339441070E0,-1.000000000E0
7.127044201E-1,2.998678791E1,3.144149034E1,3.540933924E2,3.711188863E2,0.000000000E0,NaN,2.407401513E-2,1.400000000E1,8.000000000E0,-1.000000000E0
1.527706504E0,2.998679328E1,3.144149420E1,3.543259363E2,3.713514222E2,3.100000024E-1,4.042968750E1,2.474026991E-2,1.400000000E1,8.000000000E0,-1.000000000E0
2.527711868E0,2.998679856E1,3.144149747E1,3.542293177E2,3.712547954E2,3.100000024E-1,2.144531250E1,2.504723973E-2,1.400000000E1,8.000000000E0,-1.000000000E0
3.527716517E0,2.998680124E1,3.144149822E1,3.536399012E2,3.706653743E2,0.000000000E0,NaN,2.575539007E-2,6.655946253E0,8.000000000E0,-1.000000000E0
4.527721047E0,2.998680526E1,3.144150392E1,3.552652674E2,3.722907359E2,2.000000030E-1,NaN,2.631122264E-2,6.527626393E0,8.000000000E0,-1.000000000E0
5.527725101E0,2.998680837E1,3.144150845E1,3.547165003E2,3.717419653E2,0.000000000E0,NaN,2.682977079E-2,6.785536611E0,8.000000000E0,-1.000000000E0
6.527725935E0,2.998681021E1,3.144151339E1,3.548861780E2,3.719116421E2,1.800000072E-1,NaN,2.733937115E-2,1.400000000E1,8.000000000E0,-1.000000000E0
7.527727008E0,2.998681281E1,3.144151775E1,3.551697474E2,3.721952088E2,1.899999976E-1,NaN,2.765831211E-2,1.400000000E1,8.000000000E0,-1.000000000E0
8.527728200E0,2.998681381E1,3.144152085E1,3.552881556E2,3.723136167E2,0.000000000E0,NaN,2.806147287E-2,1.400000000E1,8.000000000E0,-1.000000000E0
9.527726293E0,2.998681197E1,3.144152446E1,3.553033533E2,3.723288198E2,3.300000131E-1,NaN,2.861822709E-2,1.400000000E1,8.000000000E0,-1.000000000E0
1.052772319E1,2.998680811E1,3.144152815E1,3.552133875E2,3.722388630E2,4.000000060E-1,1.592578125E2,2.868430416E-2,1.400000000E1,8.000000000E0,-1.000000000E0
1.152772260E1,2.998680824E1,3.144152882E1,3.553036585E2,3.723291342E2,0.000000000E0,1.592578125E2,2.919336655E-2,1.400000000E1,8.000000000E0,-1.000000000E0
1.252772498E1,2.998680438E1,3.144153167E1,3.559166346E2,3.729421189E2,3.600000143E-1,1.536328125E2,2.919336656E-2,1.400000000E1,8.000000000E0,-1.000000000E0
1.352772582E1,2.998680438E1,3.144153167E1,3.559166346E2,3.729421189E2,3.600000143E-1,NaN,2.993604830E-2,1.030995518E1,8.000000000E0,-1.000000000E0
1.452772593E1,2.998680166E1,3.144153871E1,3.572640467E2,3.742895397E2,2.500000000E-1,NaN,3.155901437E-2,7.863933589E0,8.000000000E0,-1.000000000E0
1.552772498E1,2.998680017E1,3.144155547E1,3.546300135E2,3.716555179E2,5.500000119E-1,1.230468774E2,3.312996271E-2,6.470125255E0,8.000000000E0,-1.000000000E0
1.652772117E1,2.998679944E1,3.144157176E1,3.554885341E2,3.725140481E2,9.700000286E-1,1.195312544E2,3.429172173E-2,5.582324277E0,8.000000000E0,-1.000000000E0
1.752772200E1,2.998680437E1,3.144158239E1,3.549161464E2,3.719416567E2,9.700000286E-1,1.132031296E2,3.532731310E-2,4.933475087E0,6.000000000E0,-1.000000000E0
1.852772582E1,2.998681244E1,3.144158777E1,3.545169764E2,3.715424744E2,9.700000286E-1,1.142578171E2,3.656349432E-2,4.748651530E0,6.571823649E0,-1.000000000E0
1.952772713E1,2.998682301E1,3.144158381E1,3.533403406E2,3.703658168E2,5.299999714E-1,1.086328151E2,3.751486927E-2,4.748651530E0,7.218527266E0,-1.000000000E0
2.052772820E1,2.998683124E1,3.144158652E1,3.510063563E2,3.680318185E2,7.200000286E-1,1.061718786E2,3.863282169E-2,4.748651530E0,7.549880333E0,-1.000000000E0
2.152772701E1,2.998683996E1,3.144159231E1,3.501933680E2,3.672188169E2,7.200000286E-1,1.061718786E2,3.994350622E-2,4.748651530E0,7.777455638E0,-1.000000000E0
2.252772641E1,2.998684953E1,3.144160024E1,3.493899012E2,3.664153363E2,8.399999738E-1,1.030078167E2,4.136476635E-2,4.748651530E0,7.954139628E0,-1.000000000E0
2.352772582E1,2.998685979E1,3.144160904E1,3.468809291E2,3.639063495E2,1.009999990E0,9.949219266E1,4.289542017E-2,4.748651530E0,8.058728876E0,-1.000000000E0
2.452772450E1,2.998687071E1,3.144161872E1,3.454842006E2,3.625096055E2,1.009999990E0,9.351563022E1,4.457443203E-2,4.748651530E0,7.986859348E0,-1.000000000E0
2.552772403E1,2.998688264E1,3.144162941E1,3.452428065E2,3.622681946E2,9.800000191E-1,8.964844258E1,4.627385935E-2,4.748651530E0,8.018696438E0,-1.000000000E0
2.652772439E1,2.998689402E1,3.144164119E1,3.442763759E2,3.613017487E2,9.700000286E-1,8.648438001E1,4.752253022E-2,4.748651530E0,8.058728876E0,-1.000000000E0
2.752772343E1,2.998690333E1,3.144164844E1,3.444536219E2,3.614789811E2,8.100000024E-1,9.000000420E1,4.896652570E-2,4.748651530E0,7.953761719E0,-1.000000000E0
2.852772415E1,2.998691224E1,3.144165935E1,3.443231288E2,3.613484769E2,8.199999928E-1,8.753906674E1,5.066818284E-2,4.748651530E0,8.058728876E0,-1.000000000E0
2.952772415E1,2.998691836E1,3.144167554E1,3.437113124E2,3.607366573E2,1.009999990E0,9.457031771E1,5.237516807E-2,4.748651530E0,8.058728876E0,-1.000000000E0
3.052772427E1,2.998692661E1,3.144169049E1,3.431522914E2,3.601776286E2,1.009999990E0,8.964844273E1,5.402183404E-2,4.748651530E0,5.372485918E0,-1.000000000E0
3.152772439E1,2.998693465E1,3.144170484E1,3.422432948E2,3.592686243E2,1.019999981E0,8.964844278E1,5.558591930E-2,4.748651530E0,5.372485918E0,-1.000000000E0
3.252772462E1,2.998694293E1,3.144171798E1,3.406516200E2,3.576769408E2,9.800000191E-1,8.542969256E1,6.060813203E-2,4.748651530E0,5.372485918E0,-1.000000000E0
3.352772558E1,2.998697228E1,3.144175761E1,3.331097074E2,3.501349936E2,8.922187962E-1,8.785500041E1,6.170042938E-2,1.062963540E1,1.039651825E1,-1.000000000E0
3.452772629E1,2.998697818E1,3.144176668E1,3.322216880E2,3.492469678E2,8.540409455E-1,8.814491017E1,6.375659589E-2,6.422543122E0,6.357116050E0,-1.000000000E0
3.552772737E1,2.998699355E1,3.144177855E1,3.308304489E2,3.478557061E2,9.678445721E-1,8.029894545E1,6.888849131E-2,7.567804279E0,7.402478509E0,-1.000000000E0
3.652772796E1,2.998694742E1,3.144178015E1,3.362313521E2,3.532566963E2,1.210729111E0,6.986767633E1,7.264549389E-2,8.296031373E0,9.372795818E0,-1.000000000E0
3.752772844E1,2.998698027E1,3.144178927E1,3.338618793E2,3.508871667E2,9.294485378E-1,5.136716904E1,7.542737570E-2,9.454751419E0,1.091916454E1,-1.000000000E0
3.852772939E1,2.998700528E1,3.144178884E1,3.320819577E2,3.491071982E2,5.420443824E-1,1.626305870E1,7.784929174E-2,1.060502801E1,1.241338453E1,-1.000000000E0
3.952773118E1,2.998702506E1,3.144179938E1,3.305252350E2,3.475504440E2,2.816738971E-1,2.979846118E1,7.933974684E-2,1.098359205E1,1.317149743E1,-1.000000000E0
4.052773237E1,2.998703839E1,3.144180095E1,3.292802561E2,3.463054409E2,3.232997536E-1,2.979845936E1,7.992602812E-2,1.051535779E1,1.229921543E1,-1.000000000E0
4.152773356E1,2.998704361E1,3.144180010E1,3.277472680E2,3.447724427E2,6.704095598E-2,2.979845738E1,8.121854386E-2,1.050345596E1,1.229542025E1,-1.000000000E0
4.252773428E1,2.998705408E1,3.144180594E1,3.270084916E2,3.440336497E2,4.262009564E-1,3.872035060E1,8.157590806E-2,1.051066295E1,1.185828889E1,-1.000000000E0
4.352773559E1,2.998705723E1,3.144180522E1,3.265355996E2,3.435607514E2,0.000000000E0,4.017222265E1,8.255397056E-2,1.068498623E1,1.150530312E1,-1.000000000E0
4.452773666E1,2.998706385E1,3.144181191E1,3.257991170E2,3.428242599E2,1.619988696E-1,4.017222607E1,8.532090993E-2,1.047488782E1,1.199881912E1,-1.000000000E0
4.552773857E1,2.998708747E1,3.144182095E1,3.249180657E2,3.419431691E2,8.964548702E-1,2.644498862E1,8.712015491E-2,1.074087578E1,1.227312811E1,-1.000000000E0
4.652774000E1,2.998710177E1,3.144182968E1,3.250133486E2,3.420384297E2,9.408000851E-1,2.452471711E1,8.884949894E-2,1.045175461E1,1.252787714E1,-1.000000000E0
4.752774191E1,2.998711691E1,3.144183380E1,3.242847077E2,3.413097626E2,9.776646653E-1,1.474557869E1,9.023831712E-2,1.019549363E1,1.254347057E1,-1.000000000E0
4.852774310E1,2.998712925E1,3.144183603E1,3.237162985E2,3.407413316E2,1.100287846E0,7.062769605E0,9.122322914E-2,9.871728718E0,1.221254526E1,-1.000000000E0
4.952774501E1,2.998713807E1,3.144183506E1,3.239542719E2,3.409792879E2,9.612099632E-1,4.098592626E-1,9.143261727E-2,9.478593321E0,1.165263350E1,-1.000000000E0
5.052774668E1,2.998713892E1,3.144183312E1,3.233205682E2,3.403455817E2,4.753713628E-1,3.579050712E2,9.252048232E-2,9.148308726E0,1.119975851E1,-1.000000000E0
5.152774775E1,2.998714868E1,3.144183243E1,3.230290816E2,3.400540765E2,1.548665101E-1,3.560503249E2,9.389261711E-2,9.163109386E0,1.124789574E1,-1.000000000E0
5.252774942E1,2.998715965E1,3.144183896E1,3.223899343E2,3.394149121E2,2.217988345E-1,3.560503305E2,9.521965751E-2,9.044046502E0,1.084304742E1,-1.000000000E0
