"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.435635300E-2,2.998685980E1,3.144579640E1,NaN,NaN,NaN,NaN,3.058230836E-1,8.000000000E2,0.000000000E0,-1.000000000E0
1.874309531E0,2.998698190E1,3.144262414E1,3.119094692E2,3.289351807E2,0.000000000E0,NaN,3.066857913E-1,7.684896946E0,1.453018761E1,7.000000000E0
2.872989686E0,2.998698703E1,3.144261742E1,3.149174168E2,3.319431152E2,6.100000143E-1,3.275000000E2,3.077703430E-1,7.126143456E0,1.377246952E1,2.500000000E1
3.873371718E0,2.998699645E1,3.144261450E1,3.157238934E2,3.327495728E2,1.320000052E0,3.276000061E2,3.096480146E-1,4.090885639E0,7.930010319E0,2.800000000E1
4.872849477E0,2.998701122E1,3.144260505E1,3.158615601E2,3.328872070E2,2.279999971E0,3.282999878E2,3.121274017E-1,3.895255566E0,6.926659107E0,3.000000000E1
5.873044009E0,2.998703028E1,3.144259169E1,3.170851133E2,3.341107178E2,2.490000010E0,3.288999939E2,3.141603579E-1,3.790092468E0,6.028747559E0,3.000000000E1
6.873339216E0,2.998704735E1,3.144258413E1,3.148794606E2,3.319050293E2,2.750000000E0,3.277999878E2,3.169078238E-1,3.790092468E0,4.673226833E0,3.200000000E1
7.872869685E0,2.998706798E1,3.144256843E1,3.146407376E2,3.316662598E2,2.809999943E0,3.275000000E2,3.197526557E-1,3.790092468E0,3.521356106E0,3.400000000E1
8.873357601E0,2.998708958E1,3.144255260E1,3.153582543E2,3.323837280E2,2.839999914E0,3.276000061E2,3.226562162E-1,3.790092468E0,3.728062391E0,3.400000000E1
9.872937393E0,2.998711158E1,3.144253636E1,3.158467681E2,3.328721924E2,2.890000105E0,3.270000000E2,3.255950159E-1,3.790092468E0,3.746211052E0,3.400000000E1
1.087337255E1,2.998713366E1,3.144251959E1,3.159711465E2,3.329965210E2,2.950000048E0,3.262000122E2,3.286423481E-1,3.790092468E0,3.644922972E0,3.400000000E1
1.187304692E1,2.998715664E1,3.144250235E1,3.165414497E2,3.335667725E2,3.000000000E0,3.270000000E2,3.317634784E-1,3.790092468E0,3.679583311E0,3.400000000E1
1.287331474E1,2.998718022E1,3.144248477E1,3.170052479E2,3.340305176E2,3.099999905E0,3.278999939E2,3.349158025E-1,3.790092468E0,3.647810221E0,3.300000000E1
1.387285770E1,2.998720443E1,3.144246774E1,3.172999796E2,3.343251953E2,3.109999895E0,3.287000122E2,3.380396394E-1,3.790092468E0,3.476155758E0,3.500000000E1
1.487331140E1,2.998722821E1,3.144245047E1,3.175063316E2,3.345314941E2,3.069999933E0,3.287000122E2,3.411487244E-1,3.790092468E0,3.123552561E0,3.500000000E1
1.587372437E1,2.998725125E1,3.144243218E1,3.181238767E2,3.351489868E2,3.119999886E0,3.267999878E2,3.442361457E-1,3.790092468E0,3.168346167E0,3.500000000E1
1.687310442E1,2.998727281E1,3.144241198E1,3.182929337E2,3.353179932E2,3.119999886E0,3.222999878E2,3.473666502E-1,3.790092468E0,3.138390064E0,3.400000000E1
1.787362885E1,2.998729285E1,3.144238915E1,3.183693988E2,3.353944092E2,3.190000057E0,3.171000061E2,3.504679142E-1,3.790092468E0,3.228469610E0,3.400000000E1
1.887309249E1,2.998731115E1,3.144236485E1,3.179991451E2,3.350241089E2,3.180000067E0,3.122999878E2,3.535637416E-1,3.790092468E0,3.149690866E0,3.600000000E1
1.987369374E1,2.998732717E1,3.144233856E1,3.177472964E2,3.347722168E2,3.180000067E0,3.067999878E2,3.567023241E-1,3.790092468E0,3.009743929E0,3.400000000E1
2.087338968E1,2.998734046E1,3.144230981E1,3.175857149E2,3.346105957E2,3.240000010E0,3.011000061E2,3.598642734E-1,3.790092468E0,2.967875004E0,3.500000000E1
2.187309338E1,2.998735094E1,3.144227929E1,3.171947588E2,3.342196045E2,3.279999971E0,2.951000061E2,3.631384922E-1,3.790092468E0,2.909766197E0,3.500000000E1
2.287284942E1,2.998735862E1,3.144224647E1,3.171980859E2,3.342229004E2,3.359999895E0,2.872000122E2,3.665430446E-1,3.790092468E0,2.774070501E0,3.400000000E1
2.387367504E1,2.998736179E1,3.144221131E1,3.169299213E2,3.339547119E2,3.460000038E0,2.793999939E2,3.701331520E-1,3.790092468E0,2.523898125E0,3.600000000E1
2.487351786E1,2.998736057E1,3.144217406E1,3.168148868E2,3.338396606E2,3.619999886E0,2.712000122E2,3.737700102E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.587335207E1,2.998735658E1,3.144213658E1,3.160102721E2,3.330350342E2,3.599999905E0,2.682000122E2,3.774929036E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.687309072E1,2.998735238E1,3.144209823E1,3.156302790E2,3.326550293E2,3.759999990E0,2.677999878E2,3.811863278E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.787285879E1,2.998734845E1,3.144206015E1,3.153043634E2,3.323291016E2,3.700000048E0,2.680000000E2,3.848605677E-1,3.790092468E0,2.500000000E0,3.600000000E1
2.887361364E1,2.998734562E1,3.144202214E1,3.150942945E2,3.321190186E2,3.690000057E0,2.695000000E2,3.885688557E-1,3.790092468E0,2.500000000E0,3.600000000E1
2.987324603E1,2.998734445E1,3.144198366E1,3.146883672E2,3.317130737E2,3.710000038E0,2.705000000E2,3.922566721E-1,3.790092468E0,2.500000000E0,3.500000000E1
3.087305275E1,2.998734365E1,3.144194538E1,3.145614322E2,3.315861206E2,3.640000105E0,2.703999939E2,3.958405089E-1,3.790092468E0,2.500000000E0,3.700000000E1
3.187283160E1,2.998734336E1,3.144190817E1,3.149345586E2,3.319592285E2,3.559999943E0,2.703999939E2,3.994968391E-1,3.790092468E0,2.500000000E0,3.600000000E1
