"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.952000618E-3,2.998693296E1,3.144263992E1,3.046779261E2,3.217037370E2,0.000000000E0,NaN,1.542643903E-3,4.748651530E0,4.029364438E0,-1.000000000E0
6.921073198E-1,2.998692538E1,3.144265333E1,3.054016199E2,3.224274519E2,0.000000000E0,3.332812500E2,1.597589878E-3,1.400000000E1,3.000000000E0,-1.000000000E0
2.097103119E0,2.998692571E1,3.144265291E1,3.053458338E2,3.223716649E2,0.000000000E0,3.332812500E2,1.655795418E-3,3.535533906E0,3.000000000E0,-1.000000000E0
3.097099662E0,2.998692621E1,3.144265308E1,3.053731165E2,3.223989467E2,0.000000000E0,3.332812500E2,1.748997928E-3,3.535533906E0,3.000000000E0,-1.000000000E0
4.097095847E0,2.998692705E1,3.144265308E1,3.054390955E2,3.224649242E2,0.000000000E0,3.332812500E2,2.143215734E-3,3.535533906E0,3.000000000E0,-1.000000000E0
5.097092867E0,2.998693049E1,3.144265207E1,3.055169153E2,3.225427371E2,0.000000000E0,3.332812500E2,2.268356702E-3,3.535533906E0,3.000000000E0,-1.000000000E0
6.097089410E0,2.998692978E1,3.144265107E1,3.056212244E2,3.226470470E2,0.000000000E0,3.332812500E2,1.145234968E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.097094178E0,2.998724293E1,3.144154301E1,3.064387632E2,3.234634340E2,NaN,NaN,1.145234968E-1,2.893948459E1,1.677048889E1,-1.000000000E0
8.097088695E0,2.998724293E1,3.144154301E1,3.064387632E2,3.234634340E2,NaN,NaN,1.145234968E-1,2.893959823E1,1.677049340E1,-1.000000000E0
9.097086191E0,2.998724293E1,3.144154301E1,3.064387632E2,3.234634340E2,NaN,NaN,1.145234968E-1,2.893975912E1,1.677049948E1,-1.000000000E0
1.009708464E1,2.998724293E1,3.144154301E1,3.064387632E2,3.234634340E2,NaN,NaN,1.145234968E-1,2.894551923E1,1.677051180E1,-1.000000000E0
1.109708309E1,2.998724293E1,3.144154301E1,3.064387632E2,3.234634340E2,NaN,NaN,1.145338725E-1,2.904547939E1,1.677073457E1,-1.000000000E0
1.209708178E1,2.998724303E1,3.144154301E1,3.064387632E2,3.234634338E2,NaN,NaN,1.145338725E-1,2.544674206E1,1.678305237E1,-1.000000000E0
1.309707999E1,2.998724303E1,3.144154301E1,3.064387632E2,3.234634338E2,NaN,NaN,1.145338725E-1,3.194586433E1,1.678307777E1,-1.000000000E0
1.409707761E1,2.998724303E1,3.144154301E1,3.064387632E2,3.234634338E2,NaN,NaN,1.145338725E-1,3.746877463E1,1.678313900E1,-1.000000000E0
1.509707177E1,2.998724303E1,3.144154301E1,3.064387632E2,3.234634338E2,NaN,NaN,1.145338725E-1,4.483294276E1,1.678329385E1,-1.000000000E0
1.609706509E1,2.998724303E1,3.144154301E1,3.064387632E2,3.234634338E2,NaN,NaN,1.485595940E-1,5.001084817E1,1.678351644E1,-1.000000000E0
1.709706080E1,2.998694613E1,3.144145747E1,3.064387632E2,3.234639447E2,NaN,NaN,2.646574378E-1,6.062610861E1,1.678373904E1,-1.000000000E0
1.909706056E1,2.998692206E1,3.144266261E1,3.056820154E2,3.227078583E2,0.000000000E0,NaN,2.647002401E-1,4.748311692E0,4.029364438E0,-1.000000000E0
2.009705758E1,2.998692198E1,3.144266304E1,3.056799402E2,3.227057835E2,0.000000000E0,NaN,2.647015347E-1,4.671372344E0,4.029364438E0,-1.000000000E0
2.109705651E1,2.998692198E1,3.144266305E1,3.056799402E2,3.227057835E2,0.000000000E0,NaN,2.647148459E-1,4.642638464E0,4.029364438E0,-1.000000000E0
2.209705412E1,2.998692186E1,3.144266305E1,3.057022181E2,3.227280615E2,0.000000000E0,NaN,2.647148460E-1,8.025627965E0,4.029364438E0,-1.000000000E0
2.309705234E1,2.998692186E1,3.144266305E1,3.057022181E2,3.227280615E2,0.000000000E0,NaN,2.647148461E-1,8.025583609E0,4.029364438E0,-1.000000000E0
2.409705031E1,2.998692186E1,3.144266305E1,3.057022181E2,3.227280615E2,0.000000000E0,NaN,2.647148462E-1,8.025539200E0,4.029364438E0,-1.000000000E0
2.509704876E1,2.998692186E1,3.144266305E1,3.057022181E2,3.227280615E2,0.000000000E0,NaN,2.647148463E-1,8.025494891E0,4.029364438E0,-1.000000000E0
2.609704685E1,2.998692186E1,3.144266305E1,3.057022181E2,3.227280615E2,0.000000000E0,NaN,2.647148464E-1,8.025450517E0,4.029364438E0,-1.000000000E0
2.709704554E1,2.998692186E1,3.144266305E1,3.057022181E2,3.227280615E2,0.000000000E0,NaN,2.647148465E-1,8.025406563E0,4.029364438E0,-1.000000000E0
2.809704459E1,2.998692186E1,3.144266305E1,3.057022181E2,3.227280615E2,0.000000000E0,NaN,2.650737418E-1,8.025362064E0,4.029364438E0,-1.000000000E0
2.909704316E1,2.998691923E1,3.144266090E1,3.059030848E2,3.229289321E2,0.000000000E0,NaN,2.650885126E-1,8.025317752E0,4.029364438E0,-1.000000000E0
3.009704149E1,2.998691921E1,3.144266105E1,3.059075403E2,3.229333877E2,0.000000000E0,NaN,2.650885151E-1,7.578856966E0,4.029364438E0,-1.000000000E0
3.109704089E1,2.998691921E1,3.144266105E1,3.059075403E2,3.229333877E2,0.000000000E0,NaN,2.650885177E-1,7.579209750E0,4.029364438E0,-1.000000000E0
3.209703922E1,2.998691921E1,3.144266105E1,3.059075403E2,3.229333877E2,0.000000000E0,NaN,2.650885203E-1,7.579173892E0,4.029364438E0,-1.000000000E0
3.309703827E1,2.998691921E1,3.144266105E1,3.059075403E2,3.229333877E2,0.000000000E0,NaN,2.662313368E-1,7.579179410E0,4.029364438E0,-1.000000000E0
3.409703755E1,2.998691130E1,3.144266863E1,3.053567569E2,3.223826230E2,1.549045875E-2,NaN,2.676247681E-1,6.218259559E0,6.716211620E0,-1.000000000E0
3.609703577E1,2.998690179E1,3.144267804E1,3.051571602E2,3.221830489E2,3.269980157E-2,NaN,2.684617088E-1,4.285687577E0,4.954716917E0,-1.000000000E0
3.709703434E1,2.998689725E1,3.144268498E1,3.052045752E2,3.222304758E2,1.609347331E-2,NaN,2.690938400E-1,9.234393145E0,5.304614206E0,-1.000000000E0
3.809703445E1,2.998689159E1,3.144268567E1,3.051813181E2,3.222072297E2,2.688597118E-2,NaN,2.693490736E-1,9.115171870E0,5.106026812E0,-1.000000000E0
3.909703338E1,2.998689362E1,3.144268693E1,3.050343948E2,3.220603033E2,0.000000000E0,NaN,2.695059691E-1,8.372604097E0,4.875907317E0,-1.000000000E0
4.009703267E1,2.998689459E1,3.144268811E1,3.049995538E2,3.220254610E2,3.936353050E-2,NaN,2.697464847E-1,8.972700603E0,5.033739755E0,-1.000000000E0
4.109703243E1,2.998689568E1,3.144268595E1,3.049399403E2,3.219658445E2,3.468126959E-2,NaN,2.699801763E-1,8.583896053E0,5.009770856E0,-1.000000000E0
4.209703171E1,2.998689746E1,3.144268466E1,3.049594056E2,3.219853058E2,3.389748637E-2,NaN,2.700837861E-1,9.709335572E0,5.371278561E0,-1.000000000E0
4.309703088E1,2.998689715E1,3.144268568E1,3.048945438E2,3.219204450E2,3.417118342E-2,NaN,2.700901374E-1,9.302392770E0,5.332611183E0,-1.000000000E0
4.409702992E1,2.998689713E1,3.144268574E1,3.048945438E2,3.219204450E2,0.000000000E0,NaN,2.700919613E-1,9.455267510E0,5.782738233E0,-1.000000000E0
4.509702897E1,2.998689713E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923314E-1,1.010130449E1,6.148539848E0,-1.000000000E0
4.609702826E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923782E-1,9.328576157E0,6.635071532E0,-1.000000000E0
4.709702802E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923782E-1,7.092816839E0,7.043644861E0,-1.000000000E0
4.809702742E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923782E-1,7.092822793E0,7.021878958E0,-1.000000000E0
4.909702730E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923782E-1,7.092828944E0,7.226904028E0,-1.000000000E0
5.009702659E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923784E-1,7.092835077E0,7.354405737E0,-1.000000000E0
5.109702635E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923784E-1,7.084516225E0,7.430805489E0,-1.000000000E0
5.209702516E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923784E-1,7.084522098E0,7.633972186E0,-1.000000000E0
5.309702456E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923790E-1,7.084528235E0,7.732939072E0,-1.000000000E0
5.409702504E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923790E-1,7.049822019E0,7.746333365E0,-1.000000000E0
5.509702444E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923790E-1,7.049828196E0,7.746713748E0,-1.000000000E0
5.609702301E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923797E-1,7.049834439E0,7.967379741E0,-1.000000000E0
5.709702325E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923798E-1,7.011009603E0,7.978172164E0,-1.000000000E0
5.809702361E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923798E-1,7.004839393E0,8.008352738E0,-1.000000000E0
5.909702301E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923982E-1,7.004845553E0,7.988958556E0,-1.000000000E0
6.009702241E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923986E-1,5.884649658E0,8.244195311E0,-1.000000000E0
6.109702182E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.707908365E-1,5.857482976E0,8.194019842E0,-1.000000000E0
6.209702182E1,2.998689640E1,3.144267856E1,3.058304550E2,3.228563540E2,3.131526269E-2,NaN,2.708026486E-1,5.831042330E0,8.138108876E0,-1.000000000E0
6.309702134E1,2.998689641E1,3.144267868E1,3.056885818E2,3.227144808E2,4.595543935E-2,NaN,2.708056647E-1,5.811593732E0,7.327113599E0,-1.000000000E0
6.409702051E1,2.998689642E1,3.144267871E1,3.056727171E2,3.226986161E2,0.000000000E0,NaN,2.708056656E-1,5.811602029E0,7.194152894E0,-1.000000000E0
6.609701979E1,2.998689642E1,3.144267871E1,3.056727171E2,3.226986161E2,0.000000000E0,NaN,2.711530442E-1,5.811618339E0,7.470567699E0,-1.000000000E0
6.709702015E1,2.998689607E1,3.144267513E1,3.056727171E2,3.226986149E2,0.000000000E0,NaN,2.711688908E-1,5.099484852E0,7.867082012E0,-1.000000000E0
6.809701979E1,2.998689605E1,3.144267496E1,3.056727171E2,3.226986149E2,0.000000000E0,NaN,2.715309522E-1,5.064647015E0,7.610688424E0,-1.000000000E0
6.909701955E1,2.998689678E1,3.144267862E1,3.049951206E2,3.220210189E2,0.000000000E0,NaN,2.715494196E-1,5.036714384E0,7.290028561E0,-1.000000000E0
7.009701884E1,2.998689687E1,3.144267846E1,3.050115082E2,3.220374062E2,8.726216257E-2,NaN,2.726567936E-1,4.679503967E0,6.585946117E0,-1.000000000E0
7.109701896E1,2.998690561E1,3.144267296E1,3.050659395E2,3.220918184E2,4.706370583E-1,3.330201689E2,2.737708119E-1,9.723570099E0,6.836927496E0,-1.000000000E0
7.209701860E1,2.998691474E1,3.144266819E1,3.051136317E2,3.221394911E2,1.205356345E0,3.306042132E2,2.755993943E-1,7.056790156E0,6.634594477E0,-1.000000000E0
7.309701765E1,2.998692882E1,3.144265837E1,3.052661497E2,3.222919778E2,1.973386914E0,3.287498229E2,2.781078346E-1,7.146996230E0,6.180449558E0,-1.000000000E0
7.409701824E1,2.998694771E1,3.144264415E1,3.053569051E2,3.223826906E2,2.504994838E0,3.277540582E2,2.815488365E-1,7.279373561E0,5.973780522E0,-1.000000000E0
7.509701812E1,2.998697383E1,3.144262498E1,3.055221474E2,3.225478743E2,2.847110420E0,3.272002670E2,2.845768709E-1,6.031205822E0,6.055750637E0,-1.000000000E0
7.609701777E1,2.998699543E1,3.144260584E1,3.055436309E2,3.225693077E2,3.015378180E0,3.256466961E2,3.905775594E-1,6.196834752E0,5.955665775E0,-1.000000000E0
7.709701729E1,2.998724307E1,3.144154301E1,3.064387632E2,3.234634337E2,NaN,NaN,3.905775594E-1,2.265493297E1,1.682178012E1,-1.000000000E0
7.809701669E1,2.998724307E1,3.144154301E1,3.064387632E2,3.234634337E2,NaN,NaN,3.905775594E-1,3.302108002E1,1.682200221E1,-1.000000000E0
7.909701693E1,2.998724307E1,3.144154301E1,3.064387632E2,3.234634337E2,NaN,NaN,4.832779578E-1,4.963742389E1,1.682222429E1,-1.000000000E0
8.109701586E1,2.998711867E1,3.144249475E1,3.051896916E2,3.222150814E2,3.331617193E0,3.286025149E2,4.859255027E-1,6.283091417E0,5.617453819E0,-1.000000000E0
8.209701633E1,2.998714196E1,3.144248905E1,3.053021130E2,3.223274564E2,3.272397651E0,3.303237579E2,4.896474704E-1,6.395996034E0,5.340677175E0,-1.000000000E0
8.309701562E1,2.998717002E1,3.144246797E1,3.053703822E2,3.223956624E2,3.276275385E0,3.298640714E2,4.934566649E-1,6.392908775E0,5.046384124E0,-1.000000000E0
