"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.950974464E-3,2.998687543E1,3.144148940E1,3.080423307E2,3.250676607E2,NaN,NaN,4.300850930E-4,3.500000000E1,1.779468727E1,-1.000000000E0
6.950974464E-3,2.998687818E1,3.144148626E1,3.080492277E2,3.250745509E2,NaN,NaN,1.233899153E-3,3.500000000E1,1.530483437E1,-1.000000000E0
6.508267999E0,2.998688452E1,3.144149026E1,3.082239676E2,3.252492810E2,NaN,NaN,2.568619687E-3,3.500000000E1,1.943007851E1,-1.000000000E0
1.301266992E1,2.998687268E1,3.144148801E1,3.082524805E2,3.252778149E2,NaN,NaN,1.026706553E-2,3.500000000E1,2.053747940E1,-1.000000000E0
1.353767550E1,2.998680824E1,3.144145877E1,3.056939081E2,3.227193479E2,4.170226753E-1,1.721067898E2,1.163356253E-2,2.692731008E1,1.524575101E1,-1.000000000E0
1.453767252E1,2.998680802E1,3.144147295E1,3.056472957E2,3.226727432E2,4.699903429E-1,1.705378822E2,1.220780352E-2,1.477347468E1,8.426318868E0,-1.000000000E0
1.553797424E1,2.998681314E1,3.144147378E1,3.056083302E2,3.226337686E2,4.699903429E-1,1.746298116E2,1.273191920E-2,1.371518255E1,7.752600799E0,-1.000000000E0
1.653830600E1,2.998681522E1,3.144146890E1,3.055783964E2,3.226038283E2,3.017903566E-1,1.948908029E2,1.290470292E-2,2.847471669E1,1.664893122E1,-1.000000000E0
1.753830242E1,2.998681676E1,3.144146920E1,3.055600235E2,3.225854528E2,1.928173006E-1,1.895147136E2,1.317279538E-2,2.751014408E1,1.558012556E1,-1.000000000E0
1.853828716E1,2.998681767E1,3.144147177E1,3.055433518E2,3.225687807E2,1.618374437E-1,1.965439571E2,1.373263763E-2,1.792679163E1,9.976253872E0,-1.000000000E0
1.953812206E1,2.998681528E1,3.144146666E1,3.055330997E2,3.225585305E2,2.435531765E-1,2.186927494E2,1.473066905E-2,4.194638372E1,2.255920625E1,-1.000000000E0
2.053811800E1,2.998681863E1,3.144147627E1,3.055227486E2,3.225481780E2,1.818209887E-1,1.128038767E2,1.649442742E-2,1.320688663E1,7.312107882E0,-1.000000000E0
2.153840935E1,2.998680453E1,3.144148465E1,3.055106715E2,3.225361315E2,2.435531765E-1,1.408884334E2,1.649442742E-2,1.406105735E1,8.526589027E0,-1.000000000E0
2.253863609E1,2.998680453E1,3.144148465E1,3.055106715E2,3.225361315E2,2.435531765E-1,NaN,2.039318608E-2,1.406105735E1,8.526589027E0,-1.000000000E0
2.353863215E1,2.998681277E1,3.144144530E1,3.055010429E2,3.225264674E2,2.361325473E-1,NaN,2.414031376E-2,2.406282546E1,1.545414034E1,-1.000000000E0
2.453833473E1,2.998681298E1,3.144140640E1,3.055188706E2,3.225442749E2,1.083233654E-1,NaN,2.596734552E-2,4.444942402E1,2.910345796E1,-1.000000000E0
2.553759754E1,2.998680022E1,3.144139444E1,3.055534882E2,3.225789102E2,2.381011546E-1,NaN,2.669316335E-2,4.309481214E1,2.907602803E1,-1.000000000E0
2.653759468E1,2.998679409E1,3.144139702E1,3.055718078E2,3.225972425E2,2.118908912E-1,NaN,2.678833503E-2,4.327445880E1,2.908368452E1,-1.000000000E0
2.753837109E1,2.998679325E1,3.144139681E1,3.055933162E2,3.226187523E2,2.257713974E-1,NaN,2.729677271E-2,2.865267606E1,1.942617883E1,-1.000000000E0
2.853875315E1,2.998679759E1,3.144139513E1,3.056071921E2,3.226326193E2,2.261953205E-1,NaN,2.872415151E-2,2.213219982E1,1.539597998E1,-1.000000000E0
2.953874969E1,2.998680115E1,3.144138089E1,3.056286403E2,3.226540535E2,2.349558324E-1,NaN,3.060826623E-2,9.652869522E0,7.201112302E0,-1.000000000E0
3.053874695E1,2.998680091E1,3.144140045E1,3.056133899E2,3.226388137E2,2.489020079E-1,NaN,3.120468527E-2,2.609808752E1,2.096560430E1,-1.000000000E0
3.153874266E1,2.998679988E1,3.144140653E1,3.056382035E2,3.226636323E2,1.109774634E-1,NaN,3.267211916E-2,1.044130131E1,8.647554444E0,-1.000000000E0
3.253873968E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,1.148986518E-1,NaN,3.267211916E-2,1.446586744E1,1.183831813E1,-1.000000000E0
3.353873551E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,2.520347964E1,2.162167273E1,-1.000000000E0
3.453873217E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,2.965849161E1,2.605789804E1,-1.000000000E0
3.553872931E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,1.542974417E1,1.404611225E1,-1.000000000E0
3.653872573E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,1.804051840E1,1.654333979E1,-1.000000000E0
3.753872156E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,1.943590328E1,1.774075117E1,-1.000000000E0
3.853871846E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,2.192572359E1,2.037574023E1,-1.000000000E0
3.953871524E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,1.762583473E1,1.648662842E1,-1.000000000E0
4.053871167E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,2.410242883E1,2.287463350E1,-1.000000000E0
4.153870797E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,2.384672748E1,2.238998697E1,-1.000000000E0
4.253870451E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,5.222701221E0,2.558892141E0,-1.000000000E0
4.353870082E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,5.190222363E0,2.624143452E0,-1.000000000E0
4.453869760E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,5.161177207E0,2.680818321E0,-1.000000000E0
4.553869402E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,5.120989860E0,2.756809730E0,-1.000000000E0
4.653869057E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,5.098383159E0,2.798397077E0,-1.000000000E0
4.753868651E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,5.075758821E0,2.839226906E0,-1.000000000E0
4.853868353E1,2.998681300E1,3.144140488E1,3.056473638E2,3.226727672E2,0.000000000E0,NaN,3.267211916E-2,5.062656318E0,2.862524766E0,-1.000000000E0
